Original,Replacement
Alouatta_fusca,Alouatta_guariba
Alouatta_palliata_aequatorialis,Alouatta_palliata
Alouatta_seniculus_seniculus,Alouatta_seniculus
Aotus_trivirgatus_lemurinus,Aotus_lemurinus
Aotus_trivirgatus_trivirgatus,Aotus_trivirgatus
Ateles_geoffroyi_vellerosus,Ateles_geoffroyi
Ateles_paniscus_chameck,Ateles_paniscus
Callicebus_moloch_discolor,Callicebus_moloch
Callicebus_torquatus_lugens,Callicebus_torquatus
Callithrix_jacchus_jacchus,Callithrix_jacchus
Callithrix_jacchus_penicillata,Callithrix_penicillata
Cebuella_pygmaea_pymaea,Callithrix_pygmaea
Cebus_apella_libidinosus,Cebus_apella
Cebus_capucinus_capucinus,Cebus_capucinus
Cercocebus_agilis_agilis,Cercocebus_agilis
Cercopithecus_aethiops,Chlorocebus_aethiops
Cercopithecus_aethiops_hilgerti,Cercopithecus_aethiops_hilgerti
Cercopithecus_aethiops_ngamiensis,Cercopithecus_aethiops_ngamiensis
Cercopithecus_ascanius_whitesidei,Cercopithecus_ascanius_whitesidei
Cercopithecus_denti,Cercopithecus_denti
Cercopithecus_diana_diana,Cercopithecus_diana
Cercopithecus_diana_roloway,Cercopithecus_diana_roloway
Cercopithecus_eryhtrogaster,Cercopithecus_erythrogaster
Cercopithecus_erythrotis_camerunensis,Cercopithecus_erythrotis_camerunensis
Cercopithecus_lhoesti_lhoesti,Cercopithecus_lhoesti
Cercopithecus_mitis_kolbi,Cercopithecus_mitis
Cercopithecus_mitis_stuhlmanni,Cercopithecus_mitis_stuhlmanni
Cercopithecus_nictitans_nictitans,Cercopithecus_nictitans
Cercopithecus_petaurista_petaurista,Cercopithecus_petaurista
Cercopithecus_pogonias_grayi,Cercopithecus_pogonias_grayi
Cercopithecus_pogonias_pogonias,Cercopithecus_pogonias
Cercopithecus_preussi_preussi,Cercopithecus_preussi
Cercopithecus_wolfi_wolfi,Cercopithecus_wolfi
Chiropotes_satanas_chiropotes,Chiropotes_satanas
Colobus_badius_oustaletti,Piliocolobus_badius
Colobus_guereza_caudatus,Colobus_guereza
Colobus_guereza_occidentalis,Colobus_guereza_occidentalis
Colobus_kirkii,Piliocolobus_kirkii
Colobus_polykomos_angolensis,Colobus_angolensis
Colobus_polykomos_polykomos,Colobus_polykomos
Hylobates_concolor,Nomascus_concolor
Hylobates_hoolock,Bunopithecus_hoolock
Hylobates_klossi,Hylobates_klossii
Hylobates_lar_agilis,Hylobates_agilis
Hylobates_lar_carpenteri,Hylobates_lar
Hylobates_pileata,Hylobates_pileatus
Hylobatges_syndactylus_syndactylus,Symphalangus_syndactylus
Kasi_Johni,Trachypithecus_johnii
Lagothrix_lagothricha_poepiggei,Lagothrix_lagotricha
Lophocebus_albigena_aterrimus,Lophocebus_aterrimus
Lophocebus_albigena_johnstoni,Lophocebus_albigena
Macaca_brunescens,Macaca_brunnescens
Macaca_fascicularis_fascicularis,Macaca_fascicularis_fascicularis
Macaca_fuscata_fuscata,Macaca_fuscata
Macaca_fuscata_yakui,Macaca_fuscata_yakui
Macaca_mulatta_mcmahonni,Macaca_mulatta_mcmahonni
Macaca_mulatta_mulatta,Macaca_mulatta
Macaca_mulatta_villosa,Macaca_mulatta_villosa
Macaca_nemestrina_leonensis,Macaca_nemestrina_leonina
Macaca_nemestrina_nemestrina,Macaca_nemestrina
Macaca_tonkeanna,Macaca_tonkeana
Mandrillus_leucophaeus_leucophaeus,Mandrillus_leucophaeus
Miopithecus_talapoin_ansorgei,Miopithecus_talapoin_ansorgei
Miopithecus_talapoin_talapoin,Miopithecus_talapoin
Pan_troglodytes_schweinfurthi,Pan_troglodytes_schweinfurthii
Papio_cynocephalus_cynocephalus,Papio_cynocephalus
Papio_cynocephalus_kindae,Papio_cynocephalus_kindae
Pongo_abelli,Pongo_abelii
Presbytis_frontata,Presbytis_frontata
Presbytis_melalophos_chrysomelas,Presbytis_melalophos
Presbytis_potenzianni,Presbytis_potenzianni
Presbytis_rubicunda_chrysomelas,Presbytis_rubicunda_chrysomelas
Presbytis_thomasi,Presbytis_thomasi
Presbytis_vetulus,Trachypithecus_vetulus
Pygathricx_nemaeus_nigriceps,Pygathricx_nemaeus_nigriceps
Pygathrix_nemaeus_nemaeus,Pygathrix_nemaeus
Rhinopithecus_roxellana_bieti,Rhinopithecus_bieti
Rhinopithecus_roxellana_roxellana,Rhinopithecus_roxellana
Saguinus_fuscicollis_nigriceps,Saguinus_fuscicollis
Saguinus_midas_niger,Saguinus_niger
Saguinus_oedipus_geoffroyi,Saguinus_geoffroyi
Saimiri_oerstedi_oerstedi,Saimiri_oerstedi_oerstedi
Saimiri_sciureus_boliviensis,Saimiri_boliviensis
Semnopithecus_entelluslianna,Semnopithecus_entelluslianna
Semnopithecus_entellus_achates,Semnopithecus_entellus_achates
Semnopithecus_entellus_aeneus,Semnopithecus_entellus_aeneus
Semnopithecus_entellus_ajax,Semnopithecus_entellus_ajax
Semnopithecus_entellus_anchises,Semnopithecus_entellus_anchises
Semnopithecus_entellus_elissa,Semnopithecus_entellus_elissa
Semnopithecus_entellus_entellus,Semnopithecus_entellus_entellus
Semnopithecus_entellus_hector,Semnopithecus_entellus_hector
Semnopithecus_entellus_iulus,Semnopithecus_entellus_iulus
Semnopithecus_entellus_priam,Semnopithecus_entellus_priam
Semnopithecus_entellus_primellus,Semnopithecus_entellus_primellus
Semnopithecus_entellus_schistecea,Semnopithecus_entellus_schistecea
Semnopitheecus_entellus_thersites,Semnopitheecus_entellus_thersites
Simias_concolor,Simias_concolor
Trachypithecus_cristata_pyrrhus,Trachypithecus_cristatus
Trachypithecus_obscura_obscura,Trachypithecus_obscurus
Trachypithecus_pilatus_shortridgei,Trachypithecus_pileatus
